Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T16:00+01:00;2025-01-02T17:00+01:00;2025-01-02;16:00;17:00;1;32
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T17:00+01:00;2025-01-02T18:00+01:00;2025-01-02;17:00;18:00;1;20
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T18:00+01:00;2025-01-02T19:00+01:00;2025-01-02;18:00;19:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T19:00+01:00;2025-01-02T20:00+01:00;2025-01-02;19:00;20:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T20:00+01:00;2025-01-02T21:00+01:00;2025-01-02;20:00;21:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T21:00+01:00;2025-01-02T22:00+01:00;2025-01-02;21:00;22:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T22:00+01:00;2025-01-02T23:00+01:00;2025-01-02;22:00;23:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-02T23:00+01:00;2025-01-03T00:00+01:00;2025-01-02;23:00;00:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T00:00+01:00;2025-01-03T01:00+01:00;2025-01-03;00:00;01:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T01:00+01:00;2025-01-03T02:00+01:00;2025-01-03;01:00;02:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T02:00+01:00;2025-01-03T03:00+01:00;2025-01-03;02:00;03:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T03:00+01:00;2025-01-03T04:00+01:00;2025-01-03;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T04:00+01:00;2025-01-03T05:00+01:00;2025-01-03;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T05:00+01:00;2025-01-03T06:00+01:00;2025-01-03;05:00;06:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T06:00+01:00;2025-01-03T07:00+01:00;2025-01-03;06:00;07:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T07:00+01:00;2025-01-03T08:00+01:00;2025-01-03;07:00;08:00;1;16
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T08:00+01:00;2025-01-03T09:00+01:00;2025-01-03;08:00;09:00;1;17
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T09:00+01:00;2025-01-03T10:00+01:00;2025-01-03;09:00;10:00;1;5
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T10:00+01:00;2025-01-03T11:00+01:00;2025-01-03;10:00;11:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T11:00+01:00;2025-01-03T12:00+01:00;2025-01-03;11:00;12:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T12:00+01:00;2025-01-03T13:00+01:00;2025-01-03;12:00;13:00;1;4
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T13:00+01:00;2025-01-03T14:00+01:00;2025-01-03;13:00;14:00;1;4
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T14:00+01:00;2025-01-03T15:00+01:00;2025-01-03;14:00;15:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T15:00+01:00;2025-01-03T16:00+01:00;2025-01-03;15:00;16:00;1;16
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T16:00+01:00;2025-01-03T17:00+01:00;2025-01-03;16:00;17:00;1;26
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T17:00+01:00;2025-01-03T18:00+01:00;2025-01-03;17:00;18:00;1;10
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T18:00+01:00;2025-01-03T19:00+01:00;2025-01-03;18:00;19:00;1;7
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-03T19:00+01:00;2025-01-03T20:00+01:00;2025-01-03;19:00;20:00;1;1
